id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:intelcomgroup:/job/Canada-Quebec-Montreal/Front-end-Developer-Intern---Mobile-Application_JR111571,Intelcom | Dragonfly,Front-end Developer Intern - Mobile Application,Not stated,True,,Internship,,Software,"Canada, Quebec, Montreal",unknown,,,Python; Java; C#,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://intelcomgroup.wd3.myworkdayjobs.com/Intelcom/job/Canada-Quebec-Montreal/Front-end-Developer-Intern---Mobile-Application_JR111571
workday:manulife:/job/Toronto-Ontario/Summer-Intern-2027---AI_JR26081688,Manulife Financial,Summer Intern 2027 - AI,Summer 2027,False,,Internship,,Data & ML/AI,"Toronto, Ontario",unknown,,,Python; Java; SQL; PyTorch; scikit-learn; LLMs; HTML/CSS; AWS,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Summer-Intern-2027---AI_JR26081688
workday:manulife:/job/Toronto-Ontario/Summer-Intern-2027---Software-Engineering_JR26081684,Manulife Financial,Summer Intern 2027 - Software Engineering,Summer 2027,False,,Internship,,Software,"Toronto, Ontario",unknown,,,Python; Java; JavaScript; HTML/CSS; Git,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Summer-Intern-2027---Software-Engineering_JR26081684
workday:manulife:/job/Waterloo-Ontario/Summer-Intern-2027---Software-Engineering_JR26081686,Manulife Financial,Summer Intern 2027 - Software Engineering,Summer 2027,False,,Internship,,Software,"Waterloo, Ontario",unknown,,,Python; Java; JavaScript; HTML/CSS; Git,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Waterloo-Ontario/Summer-Intern-2027---Software-Engineering_JR26081686
workday:manulife:/job/Toronto-Ontario/XMLNAME-2027-Canada-Summer-Co-op---Quantitative-Analyst_JR26080358,Manulife Financial,Summer Intern 2027 - Quantitative Analyst,Summer 2027,False,,Internship,,Quant,"Toronto, Ontario",unknown,,,Python; C++; MATLAB; HTML/CSS,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/XMLNAME-2027-Canada-Summer-Co-op---Quantitative-Analyst_JR26080358
workday:manulife:/job/Toronto-Ontario/Summer-Intern-2027---Software-Engineering--8-Months-_JR26081685,Manulife Financial,Summer Intern 2027 - Software Engineering (8 Months),Summer 2027,False,,Internship,,Software,"Toronto, Ontario",unknown,,,Python; Java; JavaScript; HTML/CSS; Git,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Summer-Intern-2027---Software-Engineering--8-Months-_JR26081685
workday:manulife:/job/Toronto-Ontario/Winter-Co-op-2027---Software-Engineering--8-Months-_JR26081664,Manulife Financial,Winter Co-op 2027 - Software Engineering (8 Months),Winter 2027,False,,Co-op,,Software,"Toronto, Ontario",unknown,,,Python; Java; JavaScript; HTML/CSS; Git,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Winter-Co-op-2027---Software-Engineering--8-Months-_JR26081664
workday:manulife:/job/Toronto-Ontario/Winter-Co-op-2027---AI--12-Months-_JR26081678,Manulife Financial,Winter Co-op 2027 - AI (12 Months),Winter 2027,False,,Co-op,,Data & ML/AI,"Toronto, Ontario",unknown,,,Python; Java; SQL; PyTorch; scikit-learn; LLMs; HTML/CSS; AWS,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Winter-Co-op-2027---AI--12-Months-_JR26081678
workday:manulife:/job/Toronto-Ontario/Winter-Co-op-2027---AI_JR26081677,Manulife Financial,Winter Co-op 2027 - AI,Winter 2027,False,,Co-op,,Data & ML/AI,"Toronto, Ontario",unknown,,,Python; Java; SQL; PyTorch; scikit-learn; LLMs; HTML/CSS; AWS,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Winter-Co-op-2027---AI_JR26081677
workday:manulife:/job/Toronto-Ontario/Winter-Co-op-2027---Software-Engineering_JR26081663,Manulife Financial,Winter Co-op 2027 - Software Engineering,Winter 2027,False,,Co-op,,Software,"Toronto, Ontario",unknown,,,Python; Java; JavaScript; HTML/CSS; Git,2026-08-31T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://manulife.wd3.myworkdayjobs.com/MFCJH_Jobs/job/Toronto-Ontario/Winter-Co-op-2027---Software-Engineering_JR26081663
